Price,Close,High,Low,Open,Volume,MA20,MA50,RSI,Signal,Returns,Strategy_Returns
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,,
Date,,,,,,,,,,,
2023-03-15,16972.150390625,17211.349609375,16938.900390625,17166.44921875,248200,17545.0224609375,17758.7179296875,33.28165542803103,0,-0.004174683738684903,-0.0
2023-03-16,16985.599609375,17062.44921875,16850.150390625,16994.650390625,349800,17493.5099609375,17733.77890625,34.64313796200456,0,0.0007924286811309411,0.0
2023-03-17,17100.05078125,17145.80078125,16958.150390625,17111.80078125,408100,17446.72001953125,17714.9209375,39.72873829520224,0,0.006738129621978839,0.0
2023-03-20,16988.400390625,17066.599609375,16828.349609375,17066.599609375,241800,17398.930078125,17694.8459375,38.88679510677752,0,-0.0065292432199922645,-0.0
2023-03-21,17107.5,17127.69921875,17016.0,17060.400390625,246700,17362.07509765625,17679.806953125,44.68870000887135,0,0.007010642946744028,0.0
2023-03-22,17151.900390625,17207.25,17107.849609375,17177.44921875,0,17328.33515625,17660.8209765625,41.44149684355999,0,0.0025953757489405316,0.0
2023-03-23,17076.900390625,17205.400390625,17045.30078125,17097.400390625,219200,17304.46513671875,17644.0759765625,42.7634721488288,0,-0.004372693304643627,-0.0
2023-03-24,16945.05078125,17109.44921875,16917.349609375,17076.19921875,228000,17276.15517578125,17625.0630078125,29.084578729551154,0,-0.007720933328590696,-0.0
2023-03-27,16985.69921875,17091.0,16918.55078125,16984.30078125,218400,17252.15009765625,17607.6130078125,25.41080806369642,0,0.0023988383407489433,0.0
2023-03-28,16951.69921875,17061.75,16913.75,17031.75,238800,17230.10009765625,17587.515,22.637652945868254,0,-0.002001683861354908,-0.0
2023-03-29,17080.69921875,17126.150390625,16940.599609375,16977.30078125,345900,17218.93759765625,17571.2319921875,32.21869024432522,0,0.007609856589321451,0.0
2023-03-31,17359.75,17381.599609375,17204.650390625,17210.349609375,263900,17214.380078125,17557.3609765625,48.266853485335794,0,0.016337198944623932,0.0
2023-04-03,17398.05078125,17428.05078125,17312.75,17427.94921875,230200,17218.18759765625,17542.015,59.28181923657037,0,0.002206297973761151,0.0
2023-04-05,17557.05078125,17570.55078125,17402.69921875,17422.30078125,248300,17216.32265625,17530.9990234375,68.873285518714,0,0.009138954817361267,0.0
2023-04-06,17599.150390625,17638.69921875,17502.849609375,17533.849609375,242700,17210.70771484375,17522.4290234375,73.53603603603604,0,0.002397874785437182,0.0
2023-04-10,17624.05078125,17694.099609375,17597.94921875,17634.900390625,254800,17204.190234375,17512.5390234375,73.76160686896941,0,0.0014148632219350699,0.0
2023-04-11,17722.30078125,17748.75,17655.150390625,17704.80078125,304300,17210.82529296875,17504.6190234375,73.4413260501036,0,0.005574768321964241,0.0
2023-04-12,17812.400390625,17825.75,17717.25,17759.55078125,232800,17230.80029296875,17503.028046875,81.55397461250108,0,0.005083967961446945,0.0
2023-04-13,17828.0,17842.150390625,17729.650390625,17807.30078125,285800,17264.48525390625,17507.5010546875,79.96591533095271,0,0.0008757724412713497,0.0
2023-04-17,17706.849609375,17863.0,17574.05078125,17863.0,357400,17297.6626953125,17508.6590625,71.69551420080572,0,-0.006795512150830185,-0.0
2023-04-18,17660.150390625,17766.599609375,17610.19921875,17766.599609375,258900,17332.0626953125,17508.6190625,73.31790383738436,0,-0.0026373533282438855,-0.0
2023-04-19,17618.75,17666.150390625,17579.849609375,17653.349609375,281500,17363.72021484375,17508.668046875,79.03377315991663,0,-0.002344283016240789,-0.0
2023-04-20,17624.44921875,17684.44921875,17584.349609375,17638.599609375,215100,17389.94013671875,17508.9490234375,78.38258164852255,0,0.0003234746363958152,0.0
